timestamp_ms,latency_ms,ok
1772464739658,51.599,1
1772464739710,52.700,1
1772464739765,53.537,1
1772464739819,51.906,1
1772464739871,54.052,1
1772464739927,52.784,1
1772464739980,53.326,1
1772464740034,54.425,1
1772464740089,53.783,1
1772464740143,53.599,1
1772464740197,52.298,1
1772464740250,54.296,1
1772464740305,52.606,1
1772464740358,53.088,1
1772464740412,51.839,1
1772464740464,53.461,1
1772464740518,101.824,1
1772464740620,52.389,1
1772464740674,52.499,1
1772464740727,53.031,1
1772464740781,52.715,1
1772464740834,55.170,1
1772464740890,52.029,1
1772464740942,52.883,1
1772464740995,57.797,1
1772464741054,54.260,1
1772464741108,53.607,1
1772464741162,54.130,1
1772464741217,53.033,1
1772464741271,53.622,1
1772464741324,53.416,1
1772464741378,55.645,1
1772464741434,53.411,1
1772464741488,52.780,1
1772464741541,52.326,1
1772464741595,53.619,1
1772464741649,52.719,1
1772464741702,53.381,1
1772464741756,53.749,1
1772464741810,52.416,1
1772464741863,53.054,1
1772464741918,55.011,1
1772464741973,54.061,1
1772464742028,52.425,1
1772464742081,52.509,1
1772464742134,52.114,1
1772464742186,52.958,1
1772464742240,53.695,1
1772464742295,55.042,1
1772464742351,54.173,1
1772464742406,52.271,1
1772464742458,55.383,1
1772464742515,52.738,1
1772464742568,52.879,1
1772464742621,53.278,1
1772464742676,53.257,1
1772464742730,53.336,1
1772464742783,53.025,1
1772464742836,54.185,1
1772464742891,54.186,1
1772464742945,70.754,1
1772464743017,56.744,1
1772464743074,52.949,1
1772464743128,51.601,1
1772464743180,51.595,1
1772464743232,53.164,1
1772464743286,54.403,1
1772464743341,53.191,1
1772464743395,52.582,1
1772464743448,54.049,1
1772464743502,53.868,1
1772464743556,52.518,1
1772464743609,54.537,1
1772464743664,52.403,1
1772464743717,52.153,1
1772464743770,51.433,1
1772464743822,51.664,1
1772464743874,51.946,1
1772464743927,52.546,1
1772464743980,52.205,1
1772464744033,52.145,1
1772464744086,52.869,1
1772464744140,53.864,1
1772464744193,54.432,1
1772464744248,55.827,1
1772464744306,55.586,1
1772464744362,53.595,1
1772464744416,53.831,1
1772464744470,53.286,1
1772464744524,53.659,1
1772464744578,56.577,1
1772464744636,55.268,1
1772464744691,53.737,1
1772464744746,53.222,1
1772464744799,53.575,1
1772464744853,52.125,1
1772464744906,53.635,1
1772464744961,53.223,1
1772464745015,55.108,1
1772464745071,53.086,1
1772464745128,55.249,1
1772464745184,52.776,1
